tag_ident, average_duration, average_start_time, average_end_time
1750,9:04:37,18:03:39,3:08:17
1751,9:35:44,17:55:01,3:30:46
1753,9:42:07,17:43:55,3:26:02
1754,9:48:25,17:40:27,3:28:52
1292,6:47:17,20:31:52,3:19:09
3893,10:20:49,17:52:23,4:13:12
3892,9:36:24,18:28:38,4:05:03
3894,8:58:42,18:45:44,3:44:26
3895,8:35:24,19:06:20,3:41:44
3896,10:41:30,17:48:25,4:29:56
3897,9:05:51,18:42:58,3:48:50
3899,8:41:56,19:02:03,3:44:00
3898,8:55:14,19:02:02,3:57:16
4043,7:58:40,19:12:41,3:11:22
4044,8:45:30,19:04:28,3:49:58
4045,7:08:22,19:02:04,2:10:26
4046,8:29:20,19:02:26,3:31:46
5158,8:01:06,19:02:28,3:03:35
5159,8:28:44,19:02:03,3:30:47
4846,8:54:11,19:02:19,3:56:31
4848,11:13:31,18:03:06,5:16:38
1750,9:04:37,18:03:39,3:08:17,urban
