tag_ident, average_duration, average_start_time, average_end_time, owl_type
1750,7:06:25,20:03:44,3:10:09,urban
1751,7:20:58,20:05:44,3:26:43,urban
1753,7:21:52,20:00:58,3:22:51,urban
1754,7:24:41,20:00:33,3:25:15,urban
1292,7:23:54,20:00:14,3:24:08,rural
3893,8:13:02,20:00:18,4:13:20,urban
3892,7:44:11,20:00:12,3:44:23,urban
3894,7:28:42,20:00:06,3:28:49,rural
3895,7:44:11,20:00:07,3:44:19,rural
3896,8:14:11,20:00:10,4:14:22,rural
3897,6:56:42,20:00:06,2:56:49,rural
3899,7:42:58,20:00:07,3:43:06,urban
3898,7:43:39,20:00:06,3:43:45,rural
4043,7:30:10,20:06:39,3:36:49,urban
4044,7:29:26,20:00:33,3:30:00,urban
4045,5:41:28,20:00:08,1:41:36,urban
4046,7:30:11,20:00:24,3:30:36,urban
5158,7:03:37,20:00:16,3:03:53,urban
5159,7:58:02,20:00:16,3:58:18,urban
4846,7:58:10,20:00:14,3:58:25,rural
4848,9:14:51,20:00:23,5:15:14,urban
